"ID","NUMBER","ENGLISH","CONCEPTICON_ID","CONCEPTICON_GLOSS","ENGLISH_in_STEDT","ENGLISH_in_source"
"Marrison-1967-917-311",311,"get",694,"GET","get","to get"
"Marrison-1967-917-312",312,"ginger",2500,"GINGER","ginger","ginger"
"Marrison-1967-917-313",313,"girl",1646,"GIRL","girl","girl"
"Marrison-1967-917-314",314,"give",1447,"GIVE","give","to give"
"Marrison-1967-917-315",315,"glad",1495,"HAPPY","glad","glad (to be)"
"Marrison-1967-917-316",316,"go",695,"GO","go","to go"
"Marrison-1967-917-317",317,"go out",1107,"GO OUT","go out","to go out"
"Marrison-1967-917-318",318,"goat",1502,"GOAT","goat","goat"
"Marrison-1967-917-319",319,"God",1944,"GOD","God","God"
"Marrison-1967-917-320",320,"gold",1369,"GOLD","gold","gold"
"Marrison-1967-917-321",321,"good",1035,"GOOD","good","good"
"Marrison-1967-917-322",322,"gourd",411,"GOURD","gourd","gourd"
"Marrison-1967-917-323",323,"grandchild",1617,"GRANDCHILD","grandchild","grandchild"
"Marrison-1967-917-324",324,"grandfather",1383,"GRANDFATHER","grandfather","grandfather"
"Marrison-1967-917-325",325,"grandmother",1496,"GRANDMOTHER","grandmother","grandmother"
"Marrison-1967-917-326",326,"grass",606,"GRASS","grass","grass"
"Marrison-1967-917-327",327,"grasshopper",607,"GRASSHOPPER","grasshopper","grasshopper"
"Marrison-1967-917-328",328,"grave",1773,"GRAVE","grave","a grave"
"Marrison-1967-917-329",329,"great",1202,"BIG","great","great"
"Marrison-1967-917-330",330,"green",1425,"GREEN","green","green (colour)"
"Marrison-1967-917-331",331,"grind",1033,"GRIND","grind","to grind"
"Marrison-1967-917-332",332,"grow",479,"GROW","grow","to grow"
"Marrison-1967-917-333",333,"gum (of tree)",,,"gum (of tree)","gum (of tree)"
"Marrison-1967-917-334",334,"gun",1566,"GUN","gun","gun"
"Marrison-1967-917-335",335,"hair",,,"hair",
"Marrison-1967-917-336",336,"hair (of head)",2648,"HAIR (HEAD)","hair (of head)","hair (of head)"
"Marrison-1967-917-337",337,"hair (of body)",189,"HAIR (BODY)","hair (of body)","hair (of body)"
"Marrison-1967-917-338",338,"half",816,"HALF","half","half"
"Marrison-1967-917-339",339,"hand",1277,"HAND","hand","hand"
"Marrison-1967-917-340",340,"hard",1884,"HARD","hard","hard"
"Marrison-1967-917-341",341,"hat / helmet",1680,"HELMET","hat / helmet",
"Marrison-1967-917-342",342,"hat, helmet",1680,"HELMET","hat, helmet","hat, helmet"
"Marrison-1967-917-343",343,"hate",1607,"HATE","hate","to hate"
"Marrison-1967-917-344",344,"hawk",307,"HAWK","hawk","hawk"
"Marrison-1967-917-345",345,"he",1211,"HE","he","he"
"Marrison-1967-917-346",346,"head",1256,"HEAD","head","head"
"Marrison-1967-917-347",347,"heal",499,"CURE","heal","to heal"
"Marrison-1967-917-348",348,"hear",1408,"HEAR","hear","to hear"
"Marrison-1967-917-349",349,"heart",1223,"HEART","heart","heart"
"Marrison-1967-917-350",350,"hearth",185,"FIREPLACE","hearth","hearth"
"Marrison-1967-917-351",351,"heavy",1210,"HEAVY","heavy","heavy"
"Marrison-1967-917-352",352,"heddle",,,"heddle","heddle"
"Marrison-1967-917-353",353,"heel (""foot-chicken-egg"")",,,"heel (""foot-chicken-egg"")",
"Marrison-1967-917-354",354,"heel",980,"HEEL","heel","heel"
"Marrison-1967-917-355",355,"help",1897,"HELP","help","to help"
"Marrison-1967-917-356",356,"hen",1514,"HEN","hen","hen"
"Marrison-1967-917-357",357,"hen's egg",,,"hen's egg",
"Marrison-1967-917-358",358,"here",136,"HERE","here","here"
"Marrison-1967-917-359",359,"hide",2486,"HIDE","hide","to hide"
"Marrison-1967-917-360",360,"high",1265,"HIGH","high","high"
"Marrison-1967-917-361",361,"hill",614,"HILL","hill","hill"
"Marrison-1967-917-362",362,"hip",1745,"HIP","hip","hip"
"Marrison-1967-917-363",363,"hit",1433,"HIT","hit","to hit"
"Marrison-1967-917-364",364,"hoe",284,"HOE","hoe","hoe"
"Marrison-1967-917-365",365,"hold",1448,"HOLD","hold","to hold"
"Marrison-1967-917-366",366,"hole",1667,"HOLE","hole","hole"
"Marrison-1967-917-367",367,"honey",942,"HONEY","honey","honey"
"Marrison-1967-917-368",368,"hoof",152,"HOOF","hoof","hoof"
"Marrison-1967-917-369",369,"hook",1071,"HOOK","hook","hook"
"Marrison-1967-917-370",370,"hop",,,"hop","to hop"
"Marrison-1967-917-371",371,"hope",1092,"HOPE","hope","to hope"
"Marrison-1967-917-372",372,"horn",1393,"HORN (ANATOMY)","horn","horn"
"Marrison-1967-917-373",373,"hornbill",,,"hornbill","hornbill"
"Marrison-1967-917-374",374,"hornet",,,"hornet","hornet"
"Marrison-1967-917-375",375,"horse",615,"HORSE","horse","horse"
"Marrison-1967-917-376",376,"hot",1286,"HOT","hot","hot"
"Marrison-1967-917-377",377,"house",1252,"HOUSE","house","house"
"Marrison-1967-917-378",378,"how",1239,"HOW","how","how"
"Marrison-1967-917-379",379,"hudnred",1634,"HUNDRED","hudnred",
"Marrison-1967-917-380",380,"hundred",1634,"HUNDRED","hundred","hundred"
"Marrison-1967-917-381",381,"hungry",1533,"BE HUNGRY","hungry","hungry"
"Marrison-1967-917-382",382,"hunt",1435,"HUNT","hunt","to hunt"
"Marrison-1967-917-383",383,"husband",1200,"HUSBAND","husband","husband"
"Marrison-1967-917-384",384,"husk",2501,"RICE HUSK","husk","husk"
"Marrison-1967-917-385",385,"I",1209,"I","I","I"
"Marrison-1967-917-386",386,"if",1459,"IF","if","if"
"Marrison-1967-917-387",387,"in",1460,"IN","in","in"
"Marrison-1967-917-388",388,"ink",2643,"INK","ink","ink"
"Marrison-1967-917-389",389,"insect",620,"INSECT","insect","insect"
"Marrison-1967-917-390",390,"intestines",1991,"INTESTINES","intestines","intestines"
"Marrison-1967-917-391",391,"iron",621,"IRON","iron","iron"
"Marrison-1967-917-392",392,"ivory",,,"ivory","ivory"
"Marrison-1967-917-393",393,"jackal",,,"jackal","jackal"
"Marrison-1967-917-394",394,"jaw",798,"JAW","jaw","jaw"
"Marrison-1967-917-395",395,"jewsharp",,,"jewsharp","Jew's harp"
"Marrison-1967-917-396",396,"Job's tears (coix)",,,"Job's tears (coix)","Job's tears (coix)"
"Marrison-1967-917-397",397,"jobs tears (coix)",,,"jobs tears (coix)","Job's tears (coix)"
"Marrison-1967-917-398",398,"join",1743,"JOIN","join","to join"
"Marrison-1967-917-399",399,"judgment",1067,"JUDGMENT","judgment","judgment"
"Marrison-1967-917-400",400,"juice",1499,"JUICE","juice","juice"
"Marrison-1967-917-401",401,"jump",1829,"JUMP","jump","to jump"
"Marrison-1967-917-402",402,"jungle",420,"FOREST","jungle","jungle"
"Marrison-1967-917-403",403,"keep",1477,"KEEP","keep","to keep"
"Marrison-1967-917-404",404,"key",1472,"KEY","key","key"
"Marrison-1967-917-405",405,"kick",1135,"KICK","kick","to kick"
"Marrison-1967-917-406",406,"kidney",489,"KIDNEY","kidney","kidney"
"Marrison-1967-917-407",407,"kill",1417,"KILL","kill","to kill"
"Marrison-1967-917-408",408,"kind (sort)",844,"KIND (THING)","kind (sort)","kind (sort)"
"Marrison-1967-917-409",409,"king",1508,"KING","king","king"
"Marrison-1967-917-410",410,"kiss",578,"KISS","kiss","to kiss"
"Marrison-1967-917-411",411,"kiss; sniff",,,"kiss; sniff",
"Marrison-1967-917-412",412,"kitchen",1365,"KITCHEN","kitchen","kitchen"
"Marrison-1967-917-413",413,"knee",1371,"KNEE","knee","knee"
"Marrison-1967-917-414",414,"knife",1352,"KNIFE","knife","knife"
"Marrison-1967-917-415",415,"knock",2396,"KNOCK","knock","to knock"
"Marrison-1967-917-416",416,"knot (in string)",760,"KNOT","knot (in string)","knot (in string)"
"Marrison-1967-917-417",417,"know",1410,"KNOW (SOMETHING)","know","to know"
"Marrison-1967-917-418",418,"ladder",1464,"LADDER","ladder","ladder"
"Marrison-1967-917-419",419,"ladle",2657,"LADLE","ladle","ladle"
"Marrison-1967-917-420",420,"lake",624,"LAKE","lake","lake"
"Marrison-1967-917-421",421,"lame",320,"LAME","lame","lame"
"Marrison-1967-917-422",422,"lamp",625,"LAMP","lamp","lamp"
"Marrison-1967-917-423",423,"land",626,"LAND","land","land"
"Marrison-1967-917-424",424,"language",1307,"LANGUAGE","language","language"
"Marrison-1967-917-425",425,"last (adj.)",1529,"LAST (FINAL)",,"last (adj.)"
"Marrison-1967-917-426",426,"late",477,"LATE","late","late"
"Marrison-1967-917-427",427,"laugh",1355,"LAUGH","laugh","to laugh"
"Marrison-1967-917-428",428,"law",1062,"LAW","law","law"
"Marrison-1967-917-429",429,"lazy",1564,"LAZY","lazy","lazy"
"Marrison-1967-917-430",430,"lead",43,"LEAD (GUIDE)","lead","to lead"
"Marrison-1967-917-431",431,"leaf",628,"LEAF","leaf","leaf"
"Marrison-1967-917-432",432,"learn",504,"LEARN","learn","to learn"
"Marrison-1967-917-433",433,"leather",629,"LEATHER","leather","leather"
"Marrison-1967-917-434",434,"leech",2273,"LEECH","leech","leech"
"Marrison-1967-917-435",435,"left-hand",2182,"LEFT HAND","left-hand","left-hand"
"Marrison-1967-917-436",436,"leg",1297,"LEG","leg","leg"
"Marrison-1967-917-437",437,"lemon",3091,"LEMON","lemon","lemon"
"Marrison-1967-917-438",438,"leopard",1139,"LEOPARD","leopard","leopard"
"Marrison-1967-917-439",439,"leper",,,"leper","leper"
"Marrison-1967-917-440",440,"letter",1612,"LETTER","letter","letter"
"Marrison-1967-917-441",441,"lick",319,"LICK","lick","to lick"
"Marrison-1967-917-442",442,"lie down",215,"LIE DOWN","lie down","to lie down"
"Marrison-1967-917-443",443,"lie (deceive)",601,"LIE (MISLEAD)","lie (deceive)","to lie (to deceive)"
"Marrison-1967-917-444",444,"life",210,"LIFE","life","life"
"Marrison-1967-917-445",445,"lift",501,"LIFT","lift","to lift"
"Marrison-1967-917-446",446,"light (bright)",679,"BRIGHT","light (bright)","light (bright)"
"Marrison-1967-917-447",447,"light (of weight)",1052,"LIGHT (WEIGHT)","light (of weight)","light (of weight)"
"Marrison-1967-917-448",448,"to light (ignite)",737,"LIGHT (IGNITE)","to light (ignite)","to light (ignite)"
"Marrison-1967-917-449",449,"lightning",1654,"LIGHTNING","lightning","lightning"
"Marrison-1967-917-450",450,"like (as)",1558,"SIMILAR","like (as)","like (as)"
"Marrison-1967-917-451",451,"lip",478,"LIP","lip","lip"
"Marrison-1967-917-452",452,"lip (lower)",,,"lip (lower)",
"Marrison-1967-917-453",453,"listen",1608,"LISTEN","listen","to listen"
"Marrison-1967-917-454",454,"little",2924,"A LITTLE","little","a little"
"Marrison-1967-917-455",455,"live (to be alive)",1422,"BE ALIVE","live (to be alive)","to live (to be alive)"
"Marrison-1967-917-456",456,"liver",1224,"LIVER","liver","liver"
"Marrison-1967-917-457",457,"lizard",632,"LIZARD","lizard","lizard"
"Marrison-1967-917-458",458,"locust",810,"LOCUST","locust","locust"
"Marrison-1967-917-459",459,"loincloth",1965,"LOINCLOTH","loincloth","loincloth"
"Marrison-1967-917-460",460,"long",1203,"LONG","long","long"
"Marrison-1967-917-461",461,"look at",1819,"LOOK","look at","to look at"
"Marrison-1967-917-462",462,"look for",1468,"LOOK FOR","look for","to look for"
"Marrison-1967-917-463",463,"loom",1787,"LOOM","loom","loom"
"Marrison-1967-917-464",464,"lord",1660,"LOSE","lord","lord"
"Marrison-1967-917-465",465,"lose",1660,"LOSE","lose","to lose"
"Marrison-1967-917-466",466,"louse",1392,"LOUSE","louse","louse"
"Marrison-1967-917-467",467,"love",923,"LOVE","love","to love"
"Marrison-1967-917-468",468,"low",721,"LOW","low","low"
"Marrison-1967-917-469",469,"lungs",688,"LUNG","lungs","lungs"
"Marrison-1967-917-470",470,"mad (insane)",1899,"MAD","mad (insane)","mad"
"Marrison-1967-917-471",471,"maize",506,"MAIZE","maize","maize"
"Marrison-1967-917-472",472,"make",734,"MAKE","make","to make"
"Marrison-1967-917-473",473,"man (male)",2106,"MALE PERSON","man (male)","man (male)"
"Marrison-1967-917-474",474,"man (mankind)",683,"PERSON","man (mankind)","man (mankind)"
"Marrison-1967-917-475",475,"mango",2398,"MANGO","mango","mango"
"Marrison-1967-917-476",476,"many",1198,"MANY","many","many"
"Marrison-1967-917-477",477,"market",633,"MARKET","market","market"
"Marrison-1967-917-478",478,"married",,,"married","married"
"Marrison-1967-917-479",479,"mat",195,"MAT","mat","mat"
"Marrison-1967-917-480",480,"meat",634,"MEAT","meat","meat"
"Marrison-1967-917-481",481,"meet",1831,"MEET","meet","to meet"
"Marrison-1967-917-482",482,"mend",2243,"REPAIR","mend","to mend"
"Marrison-1967-917-483",483,"middle",1093,"MIDDLE","middle","middle"
"Marrison-1967-917-484",484,"milk",635,"MILK","milk","milk"
"Marrison-1967-917-485",485,"millet",931,"MILLET","millet","millet"
"Marrison-1967-917-486",486,"mind",1562,"MIND","mind","the mind"
"Marrison-1967-917-487",487,"mist",249,"FOG","mist","mist"
"Marrison-1967-917-488",488,"mistake",1293,"MISTAKE","mistake","mistake"
"Marrison-1967-917-489",489,"mithan (gayal, bos fontalis)",,,"mithan (gayal, bos fontalis)","mithan (gayal, bos fontalis)"
"Marrison-1967-917-490",490,"money",1559,"MONEY","money","money"
"Marrison-1967-917-491",491,"monkey (generic)",1350,"MONKEY","monkey (generic)","monkey (generic)"
"Marrison-1967-917-492",492,"monkey (huluk)",,,"monkey (huluk)","monkey (huluk)"
"Marrison-1967-917-493",493,"monkey (langur)",,,"monkey (langur)","monkey (langur)"
"Marrison-1967-917-494",494,"monkey (macaque)",,,"monkey (macaque)","monkey (macaque)"
"Marrison-1967-917-495",495,"moon",1313,"MOON","moon","moon"
"Marrison-1967-917-496",496,"morning",1339,"MORNING","morning","morning"
"Marrison-1967-917-497",497,"morung (men's dormitory)",,,"morung (men's dormitory)","morung (men's dormitory)"
"Marrison-1967-917-498",498,"mosquito",1509,"MOSQUITO","mosquito","mosquito"
"Marrison-1967-917-499",499,"moth",2828,"MOTH","moth","moth"
"Marrison-1967-917-500",500,"mother",1216,"MOTHER","mother","mother"
"Marrison-1967-917-501",501,"mountain",639,"MOUNTAIN","mountain","mountain"
"Marrison-1967-917-502",502,"mouse",1491,"MOUSE","mouse","mouse"
"Marrison-1967-917-503",503,"mouth",674,"MOUTH","mouth","mouth"
"Marrison-1967-917-504",504,"move",765,"MOVE","move","to move"
"Marrison-1967-917-505",505,"much",531,"HOW MUCH","much","much"
"Marrison-1967-917-506",506,"mud",640,"MUD","mud","mud"
"Marrison-1967-917-507",507,"must",971,"MUST","must","must"
"Marrison-1967-917-508",508,"mustard",,,"mustard","mustard"
"Marrison-1967-917-509",509,"naked",590,"NAKED","naked","naked"
"Marrison-1967-917-510",510,"name",1405,"NAME","name","name"
"Marrison-1967-917-511",511,"narrow",1267,"NARROW","narrow","narrow"
"Marrison-1967-917-512",512,"navel",1838,"NAVEL","navel","navel"
"Marrison-1967-917-513",513,"near",1942,"NEAR","near","near"
"Marrison-1967-917-514",514,"necessary",1030,"NECESSARY","necessary","necessary"
"Marrison-1967-917-515",515,"neck",1333,"NECK","neck","neck"
"Marrison-1967-917-516",516,"necklace",1961,"NECKLACE","necklace","necklace"
"Marrison-1967-917-517",517,"needle",1382,"NEEDLE (FOR SEWING)","needle","needle"
"Marrison-1967-917-518",518,"neighbor",1332,"NEIGHBOUR","neighbor","neighbour"
"Marrison-1967-917-519",519,"nest",539,"NEST","nest","nest"
"Marrison-1967-917-520",520,"net",2963,"NET","net","net"
"Marrison-1967-917-521",521,"never",1656,"NEVER","never","never"
"Marrison-1967-917-522",522,"new",1231,"NEW","new","new"
"Marrison-1967-917-523",523,"news",2964,"NEWS","news","news"
"Marrison-1967-917-524",524,"night",1233,"NIGHT","night","night"
"Marrison-1967-917-525",525,"nine",1483,"NINE",,"nine"
"Marrison-1967-917-526",526,"nineteen",1714,"NINETEEN",,"nineteen"
"Marrison-1967-917-527",527,"ninety",1724,"NINETY",,"ninety"
"Marrison-1967-917-528",528,"no",1269,"NO","no","no"
"Marrison-1967-917-529",529,"noise",1182,"NOISE","noise","noise"
"Marrison-1967-917-530",530,"noon",12,"MIDDAY","noon","noon"
"Marrison-1967-917-531",531,"north",1598,"NORTH","north","north"
"Marrison-1967-917-532",532,"nose",1221,"NOSE","nose","nose"
"Marrison-1967-917-533",533,"not",1240,"NOT","not","not"
"Marrison-1967-917-534",534,"now",1376,"NOW","now","now"
"Marrison-1967-917-535",535,"oath",1712,"OATH","oath","oath"
"Marrison-1967-917-536",536,"obey",1635,"OBEY","obey","to obey"
"Marrison-1967-917-537",537,"oil",2556,"OIL (HYDROPHOBIC LIQUID)","oil","oil"
"Marrison-1967-917-538",538,"old (of things)",2113,"OLD (USED)","old (of things)","old (of things)"
"Marrison-1967-917-539",539,"old (of persons)",2112,"OLD (AGED)","old (of persons)","old (of persons)"
"Marrison-1967-917-540",540,"old man",406,"OLD MAN","old man","old man"
"Marrison-1967-917-541",541,"old woman",907,"OLD WOMAN","old woman","old woman"
"Marrison-1967-917-542",542,"on",,,"on","on"
"Marrison-1967-917-543",543,"one",1493,"ONE",,"one"
"Marrison-1967-917-544",544,"onion",2366,"ONION","onion","onion"
"Marrison-1967-917-545",545,"only",1580,"ONLY","only","only"
"Marrison-1967-917-546",546,"open",1156,"OPEN","open","to open"
"Marrison-1967-917-547",547,"orange",2627,"ORANGE (FRUIT)","orange","an orange"
"Marrison-1967-917-548",548,"order",1128,"ORDER","order","to order"
"Marrison-1967-917-549",549,"orphan",1149,"ORPHAN","orphan","orphan"
"Marrison-1967-917-550",550,"other",197,"OTHER","other","other"
"Marrison-1967-917-551",551,"otter",15,"OTTER","otter","otter"
"Marrison-1967-917-552",552,"outside",762,"OUTSIDE","outside","outside"
"Marrison-1967-917-553",553,"owl",735,"OWL","owl","owl"
"Marrison-1967-917-554",554,"owner",1036,"OWNER","owner","owner"
"Marrison-1967-917-555",555,"pain",1783,"PAIN","pain","pain"
"Marrison-1967-917-556",556,"palm (hand)",1183,"PALM OF HAND","palm (hand)",
"Marrison-1967-917-557",557,"palm (of hand)",1183,"PALM OF HAND","palm (of hand)","palm (of hand)"
"Marrison-1967-917-558",558,"panji (bamboo stake)",,,"panji (bamboo stake)","panji (bamboo stake)"
"Marrison-1967-917-559",559,"pass by",558,"PASS BY","pass by","to pass by"
"Marrison-1967-917-560",560,"pay",718,"PAY","pay","to pay"
"Marrison-1967-917-561",561,"peace",1338,"PEACE","peace","peace"
"Marrison-1967-917-562",562,"peacock",,,"peacock","peacock"
"Marrison-1967-917-563",563,"pearl",,,"pearl","pearl"
"Marrison-1967-917-564",564,"pen",794,"PEN","pen","pen"
"Marrison-1967-917-565",565,"people",789,"PEOPLE","people","people"
"Marrison-1967-917-566",566,"person",683,"PERSON","person","person"
"Marrison-1967-917-567",567,"pierce",398,"PIERCE","pierce","to pierce"
"Marrison-1967-917-568",568,"pig (domestic)",1337,"PIG","pig (domestic)","pig (domestic)"
"Marrison-1967-917-569",569,"pig(wild)",3154,"WILD BOAR","pig(wild)",
"Marrison-1967-917-570",570,"pig (wild)",3154,"WILD BOAR","pig (wild)","pig (wild)"
"Marrison-1967-917-571",571,"pigeon",1853,"DOVE","pigeon","pigeon"
"Marrison-1967-917-572",572,"pillow",1044,"PILLOW","pillow","pillow"
"Marrison-1967-917-573",573,"pipe (tobacco)",1124,"PIPE","pipe (tobacco)","pipe (tobacco)"
"Marrison-1967-917-574",574,"place",723,"PLACE (POSITION)","place","a place"
"Marrison-1967-917-575",575,"plains",652,"PLAIN","plains","the plains"
"Marrison-1967-917-576",576,"plate",480,"PLATE","plate","plate"
"Marrison-1967-917-577",577,"play (a game)",3125,"PLAY (GAME)","play (a game)","to play (a game)"
"Marrison-1967-917-578",578,"play (music)",3124,"PLAY (INSTRUMENT)","play (music)","to play (music)"
"Marrison-1967-917-579",579,"poison",655,"POISON","poison","poison"
"Marrison-1967-917-580",580,"pool",,,"pool","pool"
"Marrison-1967-917-581",581,"poor",1674,"POOR","poor","poor"
"Marrison-1967-917-582",582,"porcupine",2510,"PORCUPINE","porcupine","porcupine"
"Marrison-1967-917-583",583,"post (of house)",281,"POST","post (of house)","post (of house)"
"Marrison-1967-917-584",584,"pot",1462,"POT","pot","pot"
"Marrison-1967-917-585",585,"power",2526,"POWER","power","power"
"Marrison-1967-917-586",586,"praise",1687,"PRAISE","praise","to praise"
"Marrison-1967-917-587",587,"pray",24,"PRAY","pray","to pray"
"Marrison-1967-917-588",588,"pregnant",1123,"PREGNANT","pregnant","pregnant"
"Marrison-1967-917-589",589,"prepare",2909,"PREPARE","prepare","to prepare"
"Marrison-1967-917-590",590,"press",1913,"PRESS","press","to press"
"Marrison-1967-917-591",591,"price",657,"PRICE","price","price"
"Marrison-1967-917-592",592,"priest",852,"PRIEST","priest","priest"
"Marrison-1967-917-593",593,"prison",1281,"PRISON","prison","prison"
"Marrison-1967-917-594",594,"proud",174,"PROUD","proud","proud"
"Marrison-1967-917-595",595,"pull",1455,"PULL","pull","to pull"
"Marrison-1967-917-596",596,"pumpkin",864,"PUMPKIN","pumpkin","pumpkin"
"Marrison-1967-917-597",597,"push",1452,"PUSH","push","to push"
"Marrison-1967-917-598",598,"put",998,"PUT","put","to put"
"Marrison-1967-917-599",599,"quarrel",1848,"QUARREL","quarrel","to quarrel"
"Marrison-1967-917-600",600,"question",,,"question","a question"
"Marrison-1967-917-601",601,"quiet",1314,"QUIET","quiet","quiet"
"Marrison-1967-917-602",602,"rain",658,"RAIN (PRECIPITATION)","rain","the rain"
"Marrison-1967-917-603",603,"rainbow",1733,"RAINBOW","rainbow","rainbow"
"Marrison-1967-917-604",604,"raise",501,"LIFT","raise","to raise"
"Marrison-1967-917-605",605,"rake",338,"RAKE","rake","rake"
"Marrison-1967-917-606",606,"rat",1490,"RAT","rat","rat"
"Marrison-1967-917-607",607,"raw (unripe)",1959,"RAW","raw (unripe)","raw (unripe)"
"Marrison-1967-917-608",608,"read",724,"READ","read","to read"
"Marrison-1967-917-609",609,"reap",190,"MOW","reap","to reap"
"Marrison-1967-917-610",610,"receive",694,"GET","receive","to receive"
"Marrison-1967-917-611",611,"red",156,"RED","red","red"
"Marrison-1967-917-612",612,"reed",659,"REED","reed","reed"
"Marrison-1967-917-613",613,"remain",987,"REMAIN","remain","to remain"
"Marrison-1967-917-614",614,"return (come back)",581,"COME BACK","return (come back)","to return (come back)"
"Marrison-1967-917-615",615,"rhinoceros",2591,"RHINOCEROS","rhinoceros","rhinoceros"
"Marrison-1967-917-616",616,"rib",801,"RIB","rib","rib"
"Marrison-1967-917-617",617,"rice (paddy)",2026,"RICE PLANT","rice (paddy)","rice (paddy)"
"Marrison-1967-917-618",618,"rice (uncooked)",926,"RICE","rice (uncooked)","rice (uncooked)"
"Marrison-1967-917-619",619,"rice (cooked)",1191,"COOKED RICE","rice (cooked)","rice (cooked)"
"Marrison-1967-917-620",620,"rice-beer",,,"rice-beer","rice-beer"
"Marrison-1967-917-621",621,"rich",712,"RICH","rich","rich"
