ID	CONCEPT	GRAPHEMES	DOCULECT	IPA	TOKENS
1	to make	yanglu	Ao-Chungli	jaŋlu	j a ŋ l u
2	beard	bangsem	Ao-Chungli	baŋsem	b a ŋ s e m
3	axe	po	Ao-Chungli	po	p o
4	lamp	totsü	Ao-Chungli	totsə	t o t s ə
5	lamp	milen	Ao-Chungli	milen	m i l e n
6	to become	aküm	Ao-Chungli	akəm	a k ə m
7	window	tanedangtsü	Ao-Chungli	tanedaŋtsə	t a n e d a ŋ t s ə
8	again	tanaben	Ao-Chungli	tanaben	t a n a b e n
9	like(as)	ama	Ao-Chungli	ama	a m a
10	frog	allu	Ao-Chungli	allu	a l l u
11	soul	tanela	Ao-Chungli	tanela	t a n e l a
12	owner	kibur	Ao-Chungli	kibur	k i b u r
13	market	wati	Ao-Chungli	wati	w a t i
14	market	shishidak	Ao-Chungli	ʃiʃidak	ʃ i ʃ i d a k
15	high	telangka	Ao-Chungli	telaŋka	t e l a ŋ k a
16	eye	tenük	Ao-Chungli	tenək	t e n ə k
17	ladle		Ao-Chungli		
18	serow	shiwu	Ao-Chungli	ʃiwu	ʃ i w u
19	locust	atatangko	Ao-Chungli	atataŋko	a t a t a ŋ k o
20	to arrive	atong	Ao-Chungli	atoŋ	a t o ŋ
21	horn	tezü	Ao-Chungli	tezə	t e z ə
22	fourteen	teripezü	Ao-Chungli	teripezə	t e r i p e z ə
23	to fill	asung	Ao-Chungli	asuŋ	a s u ŋ
24	sugar	mojitsü	Ao-Chungli	moɟ͡ʝitsə	m o ɟ͡ʝ i t s ə
25	big	tulu	Ao-Chungli	tulu	t u l u
26	to receive	agi	Ao-Chungli	agi	a g i
27	to push	anung	Ao-Chungli	anuŋ	a n u ŋ
28	to shine	apu	Ao-Chungli	apu	a p u
29	to shine	yar	Ao-Chungli	jar	j a r
30	palm(of hand)	tekabo	Ao-Chungli	tekabo	t e k a b o
31	bull	nashi-pungchi	Ao-Chungli	naʃi+puŋc͡çʰi	n a ʃ i + p u ŋ c͡çʰ i
32	roof	kilim	Ao-Chungli	kilim	k i l i m
33	to teach	sayu	Ao-Chungli	saju	s a j u
34	flood	tzü-atsung-bang	Ao-Chungli	ɟ͡ʝə+atsuŋ+baŋ	ɟ͡ʝ ə + a t s u ŋ + b a ŋ
35	stone	lung	Ao-Chungli	luŋ	l u ŋ
36	to eat	achi	Ao-Chungli	ac͡çʰi	a c͡çʰ i
37	bride	taniokla	Ao-Chungli	taniokla	t a n i o k l a
38	basket(large,storage)	jangbong	Ao-Chungli	ɟ͡ʝaŋboŋ	ɟ͡ʝ a ŋ b o ŋ
39	full	asung	Ao-Chungli	asuŋ	a s u ŋ
40	mouth	tebang	Ao-Chungli	tebaŋ	t e b a ŋ
41	flea	razübong	Ao-Chungli	razəboŋ	r a z ə b o ŋ
42	to talk	o-zümbi	Ao-Chungli	o+zəmbi	o + z ə m b i
43	fast(quick)	tekara	Ao-Chungli	tekara	t e k a r a
44	to smile		Ao-Chungli		
45	belly	tepok	Ao-Chungli	tepok	t e p o k
46	yellow	tenenya	Ao-Chungli	tenenja	t e n e n j a
47	sixteen	teritrok	Ao-Chungli	teritrok	t e r i t r o k
48	throat	terok	Ao-Chungli	terok	t e r o k
49	buffalo	jangbong	Ao-Chungli	ɟ͡ʝaŋboŋ	ɟ͡ʝ a ŋ b o ŋ
50	a stick	song	Ao-Chungli	soŋ	s o ŋ
51	bamboo	lungmi	Ao-Chungli	luŋmi	l u ŋ m i
52	bamboo	ao	Ao-Chungli	ao	a o
53	to kill	tepset	Ao-Chungli	tepset	t e p s e t
54	hair(of body)	tejung	Ao-Chungli	teɟ͡ʝuŋ	t e ɟ͡ʝ u ŋ
55	pumpkin	koromeja	Ao-Chungli	koromeɟ͡ʝa	k o r o m e ɟ͡ʝ a
56	to save	kümzük	Ao-Chungli	kəmzək	k ə m z ə k
57	and	aser	Ao-Chungli	aser	a s e r
58	bead	ajük	Ao-Chungli	aɟ͡ʝək	a ɟ͡ʝ ə k
59	mosquito	merila	Ao-Chungli	merila	m e r i l a
60	to serve	tenzük	Ao-Chungli	tenzək	t e n z ə k
61	then	ajangla	Ao-Chungli	aɟ͡ʝaŋla	a ɟ͡ʝ a ŋ l a
62	then	idangji	Ao-Chungli	idaŋɟ͡ʝi	i d a ŋ ɟ͡ʝ i
63	grandmother	otzü	Ao-Chungli	oɟ͡ʝə	o ɟ͡ʝ ə
64	thirty	semer	Ao-Chungli	semer	s e m e r
65	to awake, to awaken	saka	Ao-Chungli	saka	s a k a
66	to wait	ata-ali	Ao-Chungli	ata+ali	a t a + a l i
67	juice	tzü	Ao-Chungli	ɟ͡ʝə	ɟ͡ʝ ə
68	tall	talangka	Ao-Chungli	talaŋka	t a l a ŋ k a
69	pig(wild)	pungzü	Ao-Chungli	puŋzə	p u ŋ z ə
70	to gather	benden	Ao-Chungli	benden	b e n d e n
71	shoe	tsungsem	Ao-Chungli	tsuŋsem	t s u ŋ s e m
72	clay	ajungli	Ao-Chungli	aɟ͡ʝuŋli	a ɟ͡ʝ u ŋ l i
73	to cut(with axe)	aleu	Ao-Chungli	aleu	a l e u
74	tobacco	moko	Ao-Chungli	moko	m o k o
75	rotten	teshirep	Ao-Chungli	teʃirep	t e ʃ i r e p
76	to run	asüm	Ao-Chungli	asəm	a s ə m
77	mithan(gayal, bos fontalis)	sü	Ao-Chungli	sə	s ə
78	to desire	nü	Ao-Chungli	nə	n ə
79	pot	po	Ao-Chungli	po	p o
80	to order	ozüng-ashiba	Ao-Chungli	ozəŋ+aʃiba	o z ə ŋ + a ʃ i b a
81	to beat	azük	Ao-Chungli	azək	a z ə k
82	without(sine)	meteni	Ao-Chungli	meteni	m e t e n i
83	without(sine)	makai	Ao-Chungli	makai	m a k a i
84	intestines	tar	Ao-Chungli	tar	t a r
85	fifteen	teripungu	Ao-Chungli	teripuŋu	t e r i p u ŋ u
86	noise	ola	Ao-Chungli	ola	o l a
87	porcupine	jepchu	Ao-Chungli	ɟ͡ʝepc͡çʰu	ɟ͡ʝ e p c͡çʰ u
88	knife	kotari	Ao-Chungli	kotari	k o t a r i
89	to bear(fruit)	iatang	Ao-Chungli	iataŋ	i a t a ŋ
90	to rise	adok	Ao-Chungli	adok	a d o k
91	cane	mechi	Ao-Chungli	mec͡çʰi	m e c͡çʰ i
92	cane	ajok	Ao-Chungli	aɟ͡ʝok	a ɟ͡ʝ o k
93	dish	ausu	Ao-Chungli	ausu	a u s u
94	chillie	meresü	Ao-Chungli	meresə	m e r e s ə
95	milk	mamatzü	Ao-Chungli	mamaɟ͡ʝə	m a m a ɟ͡ʝ ə
96	sand	lisem	Ao-Chungli	lisem	l i s e m
97	dirty	jana	Ao-Chungli	ɟ͡ʝana	ɟ͡ʝ a n a
98	dirty	arür	Ao-Chungli	arər	a r ə r
99	servant	aler	Ao-Chungli	aler	a l e r
100	servant	kilir	Ao-Chungli	kilir	k i l i r
101	shuttle	süksen	Ao-Chungli	səksen	s ə k s e n
102	to swear	azüng	Ao-Chungli	azəŋ	a z ə ŋ
103	daughter	jala	Ao-Chungli	ɟ͡ʝala	ɟ͡ʝ a l a
104	clock	anütetsü	Ao-Chungli	anətetsə	a n ə t e t s ə
105	wife	kinungtzü	Ao-Chungli	kinuŋɟ͡ʝə	k i n u ŋ ɟ͡ʝ ə
106	head	tokolak	Ao-Chungli	tokolak	t o k o l a k
107	to send	yok	Ao-Chungli	jok	j o k
108	urine	natzü	Ao-Chungli	naɟ͡ʝə	n a ɟ͡ʝ ə
109	green(colour)	tajüm	Ao-Chungli	taɟ͡ʝəm	t a ɟ͡ʝ ə m
110	to learn	tekongra	Ao-Chungli	tekoŋra	t e k o ŋ r a
111	shield	jong	Ao-Chungli	ɟ͡ʝoŋ	ɟ͡ʝ o ŋ
112	towards	tsütsü	Ao-Chungli	tsətsə	t s ə t s ə
113	naked	mangsa	Ao-Chungli	maŋsa	m a ŋ s a
114	naked	pusa	Ao-Chungli	pusa	p u s a
115	to finish	-ma	Ao-Chungli	+ma	+ m a
116	to finish	zuk	Ao-Chungli	zuk	z u k
117	to climb	asük-atu	Ao-Chungli	asək+atu	a s ə k + a t u
118	to tie	mesü	Ao-Chungli	mesə	m e s ə
119	old woman	tantzür	Ao-Chungli	tanɟ͡ʝər	t a n ɟ͡ʝ ə r
120	tears(weeping)	nuktzü	Ao-Chungli	nukɟ͡ʝə	n u k ɟ͡ʝ ə
121	well(adv.)	jungjunga	Ao-Chungli	ɟ͡ʝuŋɟ͡ʝuŋa	ɟ͡ʝ u ŋ ɟ͡ʝ u ŋ a
122	to spit	metsü-metsü	Ao-Chungli	metsə+metsə	m e t s ə + m e t s ə
123	jaw	tekümret	Ao-Chungli	tekəmret	t e k ə m r e t
124	jaw	teponü	Ao-Chungli	teponə	t e p o n ə
125	rib	tesaret	Ao-Chungli	tesaret	t e s a r e t
126	to sweep	aok	Ao-Chungli	aok	a o k
127	to sweep	oktok	Ao-Chungli	oktok	o k t o k
128	diarrhoea	pokshi	Ao-Chungli	pokʃi	p o k ʃ i
129	to jump	pungshishi	Ao-Chungli	puŋʃiʃi	p u ŋ ʃ i ʃ i
130	few	ishika	Ao-Chungli	iʃika	i ʃ i k a
131	flour	am	Ao-Chungli	am	a m
132	rice(uncooked)	jang	Ao-Chungli	ɟ͡ʝaŋ	ɟ͡ʝ a ŋ
133	chest(of body)	toko	Ao-Chungli	toko	t o k o
134	reed	suzu	Ao-Chungli	suzu	s u z u
135	reed	kümbok	Ao-Chungli	kəmbok	k ə m b o k
136	other	tangar	Ao-Chungli	taŋar	t a ŋ a r
137	country	lima	Ao-Chungli	lima	l i m a
138	road	len	Ao-Chungli	len	l e n
139	after	tesü	Ao-Chungli	tesə	t e s ə
140	after	kelen	Ao-Chungli	kelen	k e l e n
141	to thank	nüngsang	Ao-Chungli	nəŋsaŋ	n ə ŋ s a ŋ
142	husband	kibuba	Ao-Chungli	kibuba	k i b u b a
143	old(of things)	tejen	Ao-Chungli	teɟ͡ʝen	t e ɟ͡ʝ e n
144	son	jabaso	Ao-Chungli	ɟ͡ʝabaso	ɟ͡ʝ a b a s o
145	Left-hand	tabalen	Ao-Chungli	tabalen	t a b a l e n
146	to play(music)	atem	Ao-Chungli	atem	a t e m
147	thin	apu-apu	Ao-Chungli	apu+apu	a p u + a p u
148	to tear	shisa	Ao-Chungli	ʃisa	ʃ i s a
149	king	tsuba	Ao-Chungli	tsuba	t s u b a
150	king	unger	Ao-Chungli	uŋer	u ŋ e r
151	bone	teret	Ao-Chungli	teret	t e r e t
152	father	tebu	Ao-Chungli	tebu	t e b u
153	food	chiyongtsü	Ao-Chungli	c͡çʰijoŋtsə	c͡çʰ i j o ŋ t s ə
154	to cough	aket	Ao-Chungli	aket	a k e t
155	to suffer	timatüm	Ao-Chungli	timatəm	t i m a t ə m
156	rake		Ao-Chungli		
157	peacock	toti	Ao-Chungli	toti	t o t i
158	back(of the body)	teperem	Ao-Chungli	teperem	t e p e r e m
159	back(of the body)	terongtong	Ao-Chungli	teroŋtoŋ	t e r o ŋ t o ŋ
160	to spin(cotton)	ayin	Ao-Chungli	ajin	a j i n
161	belt(for weaving)		Ao-Chungli		
162	mud	tzüji	Ao-Chungli	ɟ͡ʝəɟ͡ʝi	ɟ͡ʝ ə ɟ͡ʝ i
163	mud	lishi	Ao-Chungli	liʃi	l i ʃ i
164	to snore	teni-akong	Ao-Chungli	teni+akoŋ	t e n i + a k o ŋ
165	to quarrel	rara	Ao-Chungli	rara	r a r a
166	belt(girdle)	nangri	Ao-Chungli	naŋri	n a ŋ r i
167	banana	songmumu	Ao-Chungli	soŋmumu	s o ŋ m u m u
168	to fast	lumi	Ao-Chungli	lumi	l u m i
169	to cook	soro	Ao-Chungli	soro	s o r o
170	lungs	tepokpok	Ao-Chungli	tepokpok	t e p o k p o k
171	necklace	wangküm	Ao-Chungli	waŋkəm	w a ŋ k ə m
172	necklace	azüktui	Ao-Chungli	azəktui	a z ə k t u i
173	weft		Ao-Chungli		
174	fig	mungojang	Ao-Chungli	muŋoɟ͡ʝaŋ	m u ŋ o ɟ͡ʝ a ŋ
175	husk		Ao-Chungli		
176	forest	mein	Ao-Chungli	mein	m e i n
177	forest	arem	Ao-Chungli	arem	a r e m
178	near	anasa	Ao-Chungli	anasa	a n a s a
179	near	merep	Ao-Chungli	merep	m e r e p
180	ivory	shitipo	Ao-Chungli	ʃitipo	ʃ i t i p o
181	basket(back,manΓÇÖs)	ku	Ao-Chungli	ku	k u
182	thing	oset	Ao-Chungli	oset	o s e t
183	knot(in string)	mesü	Ao-Chungli	mesə	m e s ə
184	to hunt	bushi	Ao-Chungli	buʃi	b u ʃ i
185	shame	maksü	Ao-Chungli	maksə	m a k s ə
186	to pierce	atsüng	Ao-Chungli	atsəŋ	a t s ə ŋ
187	to pierce	rüok	Ao-Chungli	rəok	r ə o k
188	easy	melamelar	Ao-Chungli	melamelar	m e l a m e l a r
189	lemon		Ao-Chungli		
190	to bear( a child)	asongdang	Ao-Chungli	asoŋdaŋ	a s o ŋ d a ŋ
191	snake	per	Ao-Chungli	per	p e r
192	wise	tashi-temeter	Ao-Chungli	taʃi+temeter	t a ʃ i + t e m e t e r
193	grass	aei	Ao-Chungli	aei	a e i
194	now	tanga	Ao-Chungli	taŋa	t a ŋ a
195	pregnant	temang-mazüng	Ao-Chungli	temaŋ+mazəŋ	t e m a ŋ + m a z ə ŋ
196	to read	ashi	Ao-Chungli	aʃi	a ʃ i
197	man(mankind)	nisung	Ao-Chungli	nisuŋ	n i s u ŋ
198	man(mankind)	nü	Ao-Chungli	nə	n ə
199	to dig	ato	Ao-Chungli	ato	a t o
200	name	tenüng	Ao-Chungli	tenəŋ	t e n ə ŋ
201	lip	tebangmechi	Ao-Chungli	tebaŋmec͡çʰi	t e b a ŋ m e c͡çʰ i
202	to forget	ama	Ao-Chungli	ama	a m a
203	to sting	metak	Ao-Chungli	metak	m e t a k
204	brain	tokolok	Ao-Chungli	tokolok	t o k o l o k
205	a crow	waro	Ao-Chungli	waro	w a r o
206	necessary	tenüngdaktsü	Ao-Chungli	tenəŋdaktsə	t e n ə ŋ d a k t s ə
207	silver	taribi	Ao-Chungli	taribi	t a r i b i
208	leaf	to	Ao-Chungli	to	t o
209	leaf	songo	Ao-Chungli	soŋo	s o ŋ o
210	rough	terara	Ao-Chungli	terara	t e r a r a
211	to wear	sü-aben	Ao-Chungli	sə+aben	s ə + a b e n
212	ditch	tarok	Ao-Chungli	tarok	t a r o k
213	rat	kwiya	Ao-Chungli	kwija	k w i j a
214	nest	tesep	Ao-Chungli	tesep	t e s e p
215	every	ajak	Ao-Chungli	aɟ͡ʝak	a ɟ͡ʝ a k
216	thorn	ayi	Ao-Chungli	aji	a j i
217	a grave	lepür	Ao-Chungli	lepər	l e p ə r
218	cat	tannü	Ao-Chungli	tannə	t a n n ə
219	morung(men's dormitory)	arichu	Ao-Chungli	aric͡çʰu	a r i c͡çʰ u
220	butterfly	shinü	Ao-Chungli	ʃinə	ʃ i n ə
221	a bear	shim	Ao-Chungli	ʃim	ʃ i m
222	angry	ain-adok	Ao-Chungli	ain+adok	a i n + a d o k
223	sweet	tanang	Ao-Chungli	tanaŋ	t a n a ŋ
224	to get	angu	Ao-Chungli	aŋu	a ŋ u
225	mat	pakti	Ao-Chungli	pakti	p a k t i
226	mat	apak	Ao-Chungli	apak	a p a k
227	speech	o	Ao-Chungli	o	o
228	speech	otsü	Ao-Chungli	otsə	o t s ə
229	shell	terep	Ao-Chungli	terep	t e r e p
230	soft	tanük	Ao-Chungli	tanək	t a n ə k
231	soft	tamen	Ao-Chungli	tamen	t a m e n
232	boy	tanur-tebur	Ao-Chungli	tanur+tebur	t a n u r + t e b u r
233	thread	ang	Ao-Chungli	aŋ	a ŋ
234	thread	angsü	Ao-Chungli	aŋsə	a ŋ s ə
235	hungry	ayar	Ao-Chungli	ajar	a j a r
236	hook	zui	Ao-Chungli	zui	z u i
237	hook	boroki	Ao-Chungli	boroki	b o r o k i
238	at	-nung	Ao-Chungli	+nuŋ	+ n u ŋ
239	so(like that)	ita	Ao-Chungli	ita	i t a
240	to begin	tenzük	Ao-Chungli	tenzək	t e n z ə k
241	egg	aentzü	Ao-Chungli	aenɟ͡ʝə	a e n ɟ͡ʝ ə
242	work(n,)	mapa	Ao-Chungli	mapa	m a p a
243	tooth	tepo	Ao-Chungli	tepo	t e p o
244	to go	ao	Ao-Chungli	ao	a o
245	garlic	lasung	Ao-Chungli	lasuŋ	l a s u ŋ
246	turmeric	wakong	Ao-Chungli	wakoŋ	w a k o ŋ
247	umbrella	angshi	Ao-Chungli	aŋʃi	a ŋ ʃ i
248	to wrap	mei	Ao-Chungli	mei	m e i
249	song	ken	Ao-Chungli	ken	k e n
250	spear	atsüng	Ao-Chungli	atsəŋ	a t s ə ŋ
251	if	-ra	Ao-Chungli	+ra	+ r a
252	to smell	menem	Ao-Chungli	menem	m e n e m
253	water	tzü	Ao-Chungli	ɟ͡ʝə	ɟ͡ʝ ə
254	to believe	amang	Ao-Chungli	amaŋ	a m a ŋ
255	friend	temba	Ao-Chungli	temba	t e m b a
256	box	songden	Ao-Chungli	soŋden	s o ŋ d e n
257	life	taküm	Ao-Chungli	takəm	t a k ə m
258	each	shia	Ao-Chungli	ʃia	ʃ i a
259	hoof	temepi	Ao-Chungli	temepi	t e m e p i
260	dark	amang	Ao-Chungli	amaŋ	a m a ŋ
261	tired	anir	Ao-Chungli	anir	a n i r
262	tired	belem	Ao-Chungli	belem	b e l e m
263	light(of weight)	pungpar	Ao-Chungli	puŋpar	p u ŋ p a r
264	ashes	ap	Ao-Chungli	ap	a p
265	ashes	aot	Ao-Chungli	aot	a o t
266	pig(domestic)	ak	Ao-Chungli	ak	a k
267	what?	kechi	Ao-Chungli	kec͡çʰi	k e c͡çʰ i
268	what?	koba	Ao-Chungli	koba	k o b a
269	to understand	metet	Ao-Chungli	metet	m e t e t
270	to understand	shitet	Ao-Chungli	ʃitet	ʃ i t e t
271	why?	kechiba	Ao-Chungli	kec͡çʰiba	k e c͡çʰ i b a
272	shut	ayubang	Ao-Chungli	ajubaŋ	a j u b a ŋ
273	shut	shibang	Ao-Chungli	ʃibaŋ	ʃ i b a ŋ
274	thief	aor	Ao-Chungli	aor	a o r
275	oil	totzü	Ao-Chungli	toɟ͡ʝə	t o ɟ͡ʝ ə
276	to write	zilu	Ao-Chungli	zilu	z i l u
277	to write	atep	Ao-Chungli	atep	a t e p
278	all	ajak	Ao-Chungli	aɟ͡ʝak	a ɟ͡ʝ a k
279	all	temang	Ao-Chungli	temaŋ	t e m a ŋ
280	poison	mim	Ao-Chungli	mim	m i m
281	eighteen	tereti	Ao-Chungli	tereti	t e r e t i
282	hard	merang	Ao-Chungli	meraŋ	m e r a ŋ
283	hard	tasak	Ao-Chungli	tasak	t a s a k
284	he	pa	Ao-Chungli	pa	p a
285	to wash(face)	tejak-mei	Ao-Chungli	teɟ͡ʝak+mei	t e ɟ͡ʝ a k + m e i
286	straight	temotong	Ao-Chungli	temotoŋ	t e m o t o ŋ
287	hot	tatsük	Ao-Chungli	tatsək	t a t s ə k
288	wide	sadem-sademer	Ao-Chungli	sadem+sademer	s a d e m + s a d e m e r
289	four	pezü	Ao-Chungli	pezə	p e z ə
290	morning	tanüp	Ao-Chungli	tanəp	t a n ə p
291	bee	ninang	Ao-Chungli	ninaŋ	n i n a ŋ
292	to worship	külem	Ao-Chungli	kəlem	k ə l e m
293	bud	teben	Ao-Chungli	teben	t e b e n
294	thirteen	terasem	Ao-Chungli	terasem	t e r a s e m
295	to move		Ao-Chungli		
296	a little	ishika	Ao-Chungli	iʃika	i ʃ i k a
297	to choose	shim	Ao-Chungli	ʃim	ʃ i m
298	deaf	tenarong-ajak	Ao-Chungli	tenaroŋ+aɟ͡ʝak	t e n a r o ŋ + a ɟ͡ʝ a k
299	free(at liberty)	mesentak	Ao-Chungli	mesentak	m e s e n t a k
300	glad(to be)	pela	Ao-Chungli	pela	p e l a
301	the rain	tsunglu	Ao-Chungli	tsuŋlu	t s u ŋ l u
302	key	sabi	Ao-Chungli	sabi	s a b i
303	to answer	langzü	Ao-Chungli	laŋzə	l a ŋ z ə
304	to drink	ayong	Ao-Chungli	ajoŋ	a j o ŋ
305	there	idakji	Ao-Chungli	idakɟ͡ʝi	i d a k ɟ͡ʝ i
306	kidney	tezüngyang	Ao-Chungli	tezəŋjaŋ	t e z ə ŋ j a ŋ
307	gold	hon	Ao-Chungli	hon	h o n
308	Jaw's harp		Ao-Chungli		
309	word	o	Ao-Chungli	o	o
310	smooth	tesüsü	Ao-Chungli	tesəsə	t e s ə s ə
311	winter	tsüngkem	Ao-Chungli	tsəŋkem	t s ə ŋ k e m
312	three	asem	Ao-Chungli	asem	a s e m
313	to slip	azutok	Ao-Chungli	azutok	a z u t o k
314	rainbow	tungnusen	Ao-Chungli	tuŋnusen	t u ŋ n u s e n
315	bracelet	kap	Ao-Chungli	kap	k a p
316	bracelet	kisen	Ao-Chungli	kisen	k i s e n
317	square	pezünuk	Ao-Chungli	pezənuk	p e z ə n u k
318	square	pezüsü	Ao-Chungli	pezəsə	p e z ə s ə
319	lake	awatsüng	Ao-Chungli	awatsəŋ	a w a t s ə ŋ
320	post(of house)	tongnü	Ao-Chungli	toŋnə	t o ŋ n ə
321	young woman	aiür	Ao-Chungli	aiər	a i ə r
322	to play(a game)	asaya	Ao-Chungli	asaja	a s a j a
323	to kick	aka	Ao-Chungli	aka	a k a
324	to kick	ajüm	Ao-Chungli	aɟ͡ʝəm	a ɟ͡ʝ ə m
325	empty	tazüng	Ao-Chungli	tazəŋ	t a z ə ŋ
326	crooked	tekirak	Ao-Chungli	tekirak	t e k i r a k
327	among	rongnung	Ao-Chungli	roŋnuŋ	r o ŋ n u ŋ
328	brass	yongmen	Ao-Chungli	joŋmen	j o ŋ m e n
329	fever	ramen	Ao-Chungli	ramen	r a m e n
330	the chin	teküm	Ao-Chungli	tekəm	t e k ə m
331	hen	aentetzü	Ao-Chungli	aenteɟ͡ʝə	a e n t e ɟ͡ʝ ə
332	to shake	anok	Ao-Chungli	anok	a n o k
333	nineteen	terituku	Ao-Chungli	terituku	t e r i t u k u
334	whole	temang	Ao-Chungli	temaŋ	t e m a ŋ
335	to deceive	kelakoktsü	Ao-Chungli	kelakoktsə	k e l a k o k t s ə
336	heavy	taret	Ao-Chungli	taret	t a r e t
337	to untie	sala	Ao-Chungli	sala	s a l a
338	to pray	sarasadem	Ao-Chungli	sarasadem	s a r a s a d e m
339	to bless	moatsü	Ao-Chungli	moatsə	m o a t s ə
340	to join	mesemtep	Ao-Chungli	mesemtep	m e s e m t e p
341	can, able	kok	Ao-Chungli	kok	k o k
342	can, able	tet	Ao-Chungli	tet	t e t
343	bread	amtsük	Ao-Chungli	amtsək	a m t s ə k
344	scales(balance)	seret	Ao-Chungli	seret	s e r e t
345	meat	shi	Ao-Chungli	ʃi	ʃ i
346	to fly	ima-ao	Ao-Chungli	ima+ao	i m a + a o
347	branch	songsang	Ao-Chungli	soŋsaŋ	s o ŋ s a ŋ
348	ugly		Ao-Chungli		
349	elephant	shiti	Ao-Chungli	ʃiti	ʃ i t i
350	straw	monü	Ao-Chungli	monə	m o n ə
351	aunt	amu	Ao-Chungli	amu	a m u
